year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap2dl726635,ca,28,45876,silver,black,avis rac/san leandro,10400,10800
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek7bu760873,ca,28,44746,silver,gray,toyota financial services,11100,11000
2011,Jeep,Compass,Base,SUV,automatic,1j4nt1fa6bd248696,ca,28,44208,white,White,bmw alphera/alphera financial services,10900,10400
2010,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap8al718867,ca,28,43729,silver,gray,gm financial,7800,9100
2011,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj5bm106616,ca,28,42971,yellow,black,onemain rem/m&m auto traders,8525,9000
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du8c1533737,ca,28,41155,gray,gray,toyota financial services,14800,14700
2011,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c54bdu55005,ca,28,38678,white,brown,manheim nevada,29300,28000
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek3bu227225,ca,28,37086,gold,gray,toyota scion of downtown la,11550,9250
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c5xcc808193,ca,28,36773,black,black,financial services remarketing (lease),33700,32500
2012,Hyundai,Accent,GS,Hatchback,automatic,kmhct5aexcu028523,ca,28,34840,gray,black,hyundai motor finance,8875,8500
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c55be754738,ca,28,34092,red,black,financial services remarketing (lease),20100,18500
2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5ch119147,ca,28,33305,white,beige,hyundai motor finance,10400,9700
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8dh687043,ca,28,32387,silver,gray,skyhigh remarketing inc,12400,9750
2013,Toyota,Tacoma,PreRunner,Double Cab,automatic,5tfjx4gn8dx015982,ca,28,32198,blue,gray,manheim san diego,21200,20500
2012,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse06cg246240,ca,28,32104,silver,black,california republic bank,23300,23000
2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb4ar122710,ca,28,32005,white,black,exeter finance corp,17050,19000
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb3dr256859,ca,28,31978,black,black,the hertz corporation,22000,21000
2013,Kia,Rio,LX,Sedan,automatic,knadm4a3xd6124671,ca,28,31406,silver,black,primeritus remarketing/oregon comm credit,9775,8900
2011,BMW,3 Series,328i,Coupe,automatic,wbake3c57be768905,ca,28,31272,white,black,financial services remarketing (lease),20700,21750
2012,Toyota,Highlander,Limited,SUV,automatic,5tdyk3eh5cs059446,ca,28,31143,silver,silver,toyota santa monica,26700,24000
2011,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cpxbt008985,ca,28,30842,silver,beige,nissan-infiniti lt,9775,10500
2011,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp9bt003289,ca,28,28736,black,gray,nissan-infiniti lt,9925,10500
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu063573,ca,28,28605,silver,black,onemain rem/m&m auto traders,14750,15200
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f22cl294180,ca,28,22548,black,gray,ford motor credit company llc pd,10500,10500
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp4ct025329,ca,28,21393,black,tan,nissan-infiniti lt,11250,11250
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c58ce755738,ca,28,20163,black,black,financial services remarketing (lease),23000,20000
2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap1bl719473,ca,28,17914,blue,gray,nissan-infiniti lt,10300,10250
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728676,ca,28,13661,black,White,financial services remarketing (lease),29400,28250
2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sb0e7333392,ca,28,9648,white,black,honda of santa maria,15150,12500
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hbxcr216065,ca,28,9628,silver,black,mercedes-benz financial services,23800,22500
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e0xcf381988,ca,29,67196,black,gray,the hertz corporation,8425,9300
2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k20cl268649,ca,29,63205,black,black,dtg operations inc,8525,8300
2010,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1j4ba3h12al210159,ca,29,62594,red,gray,dtg operations inc,19500,17500
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755835,ca,29,61573,white,White,financial services remarketing (lease),20000,19000
2012,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvcg3cf136273,ca,29,61464,white,black,merchants automotive group,22600,22500
2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap8cc254986,ca,29,60716,red,beige,dtg operations inc,10700,9100
2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,wausf78k79a095778,ca,29,59602,silver,black,first investors servicing corp,14350,16000
2011,Honda,Civic,Si,Coupe,manual,2hgfg2a50bh701214,ca,29,58395,black,black,lease remarketing services inc,11950,13000
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv1bw664216,ca,29,55481,silver,black,nissan-infiniti lt,14650,16500
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg2cr308102,ca,29,54064,black,beige,tdaf remarketing,10650,11750
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn576568,ca,29,53958,blue,black,santander consumer,10300,10000
2011,Jaguar,XJ,XJL,Sedan,automatic,sajwa2gb2blv06541,ca,29,50637,silver,black,fiserv/usb dealer services northstar exchange,32500,32250
2012,Ford,Explorer,Limited,SUV,automatic,1fmhk8f89cga08890,ca,29,48130,black,black,galpin ford studio rentals,25800,25500
2011,Chevrolet,Traverse,LT1,SUV,automatic,1gnkrged0bj296113,ca,29,46706,gray,gray,dtg operations inc,15300,14900
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja3cr365434,ca,29,45663,silver,black,ford motor credit company llc,11750,11600
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn471724,ca,29,45473,white,beige,nissan-infiniti lt,11650,12100
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mt5cw259184,ca,29,41350,red,black,santander consumer,13000,14000
2010,Toyota,Corolla,S,Sedan,automatic,1nxbu4ee8az281513,ca,29,41304,white,black,gm financial,9475,10300
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap9dl684898,ca,29,39548,white,black,merchants leasing,10400,10500
2009,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gchk43k29f151885,ca,29,39498,white,gray,enterprise fleet management exchange  inc.,22100,21000
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn429658,ca,29,39056,black,gray,nissan-infiniti lt,12100,12600
2011,BMW,X5,xDrive50i,SUV,automatic,5uxzv8c5xbl420637,ca,29,38650,black,black,financial services remarketing (lease),31700,25000
2012,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvcg7cf125051,ca,29,38079,white,White,merchants automotive group,24900,24750
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6ch386883,ca,29,37801,gray,beige,hyundai motor finance,11050,10800
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c51ce728303,ca,29,37032,black,black,financial services remarketing (lease),26300,25000
2012,Chevrolet,Camaro,LT,Convertible,automatic,2g1fc3d31c9123218,ca,29,35815,silver,gray,tdaf remarketing,16900,16100
2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlak9cw151871,ca,29,33667,gray,gray,toyota scion of downtown la,12550,12750
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp0ck815359,ca,29,33641,red,black,santander consumer,8650,9600
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap1dl659882,ca,29,33219,white,black,jpmorgan chase bank n.a.,11200,10300
2011,BMW,3 Series,335i,Convertible,automatic,wbadx7c56be580421,ca,29,28153,white,black,financial services remarketing (lease),28700,28000
2011,Honda,Accord,LX,Sedan,automatic,1hgcp2f35ba131090,ca,29,26920,gray,tan,ahfc/honda lease trust/hvt  inc. eot,10950,12600
2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c51ed501631,ca,29,25969,black,black,financial services remarketing (lease),34200,30000
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c54bf093579,ca,29,25764,black,gray,financial services remarketing (lease),19850,18600
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g58bnm84010,ca,29,25339,black,black,financial services remarketing (lease),20700,21250
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8ca613028,ca,29,20015,black,black,mercedes-benz financial services,22900,22000
2009,Toyota,Corolla,Base,Sedan,automatic,1nxbu40e79z135798,ca,31,79618,silver,gray,jpmorgan chase bank n.a.,6625,8200
2012,Ford,Focus,SEL,Sedan,automatic,1fahp3h23cl156080,ca,31,76000,silver,black,exeter finance corp,8225,9100
2011,Mercedes-Benz,E-Class,E350 4MATIC,Wagon,automatic,wddhh8hb7ba213255,ca,31,71682,black,black,lexus of riverside,22800,25000
2013,Nissan,Armada,SV,SUV,automatic,5n1aa0nc3dn604196,ca,31,63459,black,black,the hertz corporation,18100,19500
2010,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gbxaa253575,ca,31,61131,black,black,jpmorgan chase bank n.a.,21500,23250
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be7ca782669,ca,31,60981,gray,black,the hertz corporation,27000,26250
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp2ck279255,ca,31,58768,black,black,santander consumer,7525,8400
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap2cc808904,ca,31,55684,White,black,nissan-infiniti lt,14500,16500
2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5eu9bf379693,ca,31,53919,silver,black,dtg operations inc,8475,9500
2012,Chevrolet,Cruze,LS,Sedan,manual,1g1pd5sh5c7328067,ca,31,53563,silver,black,balboa thrift & loan association,8050,7500
2010,Kia,Forte,EX,Sedan,automatic,knafu4a27a5243523,ca,31,45439,silver,gray,kia motors finance,7650,6400
2012,Hyundai,Accent,GS,Hatchback,automatic,kmhct5ae7cu023442,ca,31,44259,blue,black,hyundai motor finance,8125,7900
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f66ca047467,ca,31,42990,silver,black,ahfc/honda lease trust/hvt  inc. eot,12650,13600
2013,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4hjweg8dl539625,ca,31,41173,black,black,avis corporation,27100,27000
2012,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f82ca110484,ca,31,35404,gray,gray,ahfc/honda lease trust/hvt  inc.,14400,15800
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c57ba441419,ca,31,31785,black,black,financial services remarketing (lease),19800,21250
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g57bnm76447,ca,31,29482,white,black,financial services remarketing (lease),20700,15000
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c5xce729000,ca,31,27675,blue,gray,financial services remarketing (lease),28200,25750
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mt7bw183448,ca,31,25235,black,black,nissan-infiniti lt,15900,16250
2011,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c55bdu54705,ca,31,25061,gray,black,financial services remarketing (lease),29700,29500
2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag6eh233710,ca,31,15108,black,black,certified preowned ford&lincoln/mercury dlr unit,19450,19500
2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae2dh264292,ca,31,13505,red,tan,hyundai motor america/co car,14550,13800
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238493,ca,31,9914,black,black,midway hfc fleet/ars,22500,20600
2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4c5286986,ca,32,65201,white,black,the hertz corporation,10450,10700
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn454940,ca,32,62381,black,black,the hertz corporation,11700,11900
2011,Jaguar,XF,Supercharged,Sedan,automatic,sajwa0hexbmr90725,ca,32,61529,black,black,jpmorgan chase bank n.a.,27500,25500
2011,Ford,Mustang,V6,Convertible,automatic,1zvbp8emxb5134256,ca,32,51850,gray,black,fiserv/usb dealer services northstar exchange,12200,12750
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e03cf353868,ca,32,50616,white,gray,exeter finance corp,9325,10600
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3dp157851,ca,32,48376,gray,gray,toyota financial services/avis budget group-open,10750,11500
2012,Ford,Focus,Titanium,Sedan,automatic,1fahp3j2xcl215975,ca,32,47861,white,black,bmw alphera/alphera financial services,11200,6100
2012,Toyota,Corolla,S,Sedan,automatic,5yfbu4ee3cp012064,ca,32,46204,gray,black,toyota financial services,11450,10900
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn429376,ca,32,40401,white,black,nissan-infiniti lt,12000,12200
2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f36aa052607,ca,32,39673,blue,gray,ahfc/honda lease trust/hvt  inc.,10400,11700
2011,Toyota,Venza,Base,Wagon,automatic,4t3za3bb6bu047276,ca,32,33529,white,tan,toyota financial services,15600,15000
2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf3h56cb028393,ca,32,28883,white,gray,ahfc/honda lease trust/hvt  inc.,24600,24000
2013,Nissan,Cube,1.8 SL,Wagon,automatic,jn8az2kr2dt304554,ca,32,24437,white,beige,california republic bank,11350,12200
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn432892,ca,32,23090,white,black,nissan-infiniti lt,13150,12750
2013,Kia,Sorento,EX,SUV,automatic,5xyku3a23dg334585,ca,33,71662,black,beige,kia of cerritos,14050,14000
2011,Kia,Soul,!,Wagon,automatic,kndjt2a23b7344049,ca,33,59460,gray,black,santander consumer,9375,10000
2012,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg4cl192882,ca,33,58226,white,black,the hertz corporation,23100,21800
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c51cl889822,ca,33,56780,black,black,myrddin fleet services,30200,30000
2011,Nissan,Versa,1.8 S,Sedan,automatic,3n1bc1ap7bl358853,ca,33,52444,black,black,wells fargo dealer services,6550,7000
2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em3c5273324,ca,33,47558,black,black,dtg operations inc,11650,11400
2011,Ford,Edge,Limited,SUV,automatic,2fmdk4kc9bbb44556,ca,33,45968,blue,black,ford motor credit company llc pd,21100,19800
2012,Honda,CR-V,EX-L,SUV,automatic,jhlrm3h74cc010308,ca,33,45307,blue,black,ahfc/honda lease trust/hvt  inc.,19200,18200
2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac4ch374812,ca,33,44051,white,tan,hyundai motor finance,15050,15000
2011,Ford,Edge,SEL,SUV,automatic,2fmdk4jc0bbb51879,ca,33,43357,black,black,ford motor credit company llc pd,19500,19000
2013,Nissan,Sentra,FE+ SV,Sedan,automatic,3n1ab7ap9dl679328,ca,33,42704,black,black,merchants automotive group,10750,10700
2011,Honda,Accord,EX,Sedan,automatic,1hgcp2f73ba074763,ca,33,42629,white,tan,ahfc/honda lease trust/hvt  inc. eot,12550,13300
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3dp161401,ca,33,41961,white,gray,toyota financial services/avis budget group-open,11100,11500
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dn571447,ca,33,40931,charcoal,black,enterprise vehicle exchange/orange,12750,13500
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh734477,ca,33,37499,blue,gray,avis corporation,12050,12400
2013,Toyota,Avalon,XLE,Sedan,automatic,4t1bk1eb6du040855,ca,33,36159,silver,silver,toyota financial services/avis budget group-open,18850,19500
2012,Nissan,Armada,SL,SUV,automatic,5n1aa0nc8cn607416,ca,33,33561,silver,gray,the hertz corporation,27300,24000
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0bc846338,ca,33,31000,gray,black,nissan-infiniti lt,17100,18250
2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb1ba442728,ca,33,30174,White,black,mercedes-benz usa,19950,17000
2011,Honda,Accord,SE,Sedan,automatic,1hgcp2f64ba122987,ca,33,29864,gray,black,ahfc/honda lease trust/hvt  inc. eot,12450,13400
2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a7xdg238335,ca,33,26360,brown,beige,gm financial,13450,13300
2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5en8a1244970,ca,34,74833,gray,black,jpmorgan chase bank n.a.,6650,6200
2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd2cu159668,ca,34,74227,purple,beige,hyundai motor finance,12750,13800
2010,Dodge,Journey,SXT,SUV,automatic,3d4pg5fv3at181998,ca,34,73745,black,gray,remarketing by ge/flagship credit acceptance,8900,8600
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0hg4cr305639,ca,34,69921,black,black,dtg operations inc,9075,9100
2009,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng71x39a258628,ca,34,69781,white,brown,high bid trading co inc,26300,30250
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn499388,ca,34,66364,black,black,the hertz corporation,9675,10500
2010,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1j4ba3h11al179700,ca,34,66137,silver,gray,dtg operations inc,20600,19200
2011,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja4br191940,ca,34,64713,White,black,wheels exchange llc,9250,10800
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c52bf093726,ca,34,61948,gray,black,financial services remarketing (lease),16250,17000
2012,Toyota,Corolla,LE,Sedan,automatic,jtdbu4ee7c9174690,ca,34,61702,white,gray,toyota financial services,9200,10100
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7bexca781158,ca,34,59472,black,black,the hertz corporation,27500,28901
2010,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be8aa573051,ca,34,57483,black,black,mercedes benz of laguna niguel,26700,26250
2010,Ford,Mustang,V6,Convertible,automatic,1zvbp8en2a5151768,ca,34,56296,red,tan,high bid trading co inc,10750,11400
2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee7az299453,ca,34,53075,silver,gray,jpmorgan chase bank n.a.,8425,10400
2012,Kia,Soul,Base,Wagon,automatic,kndjt2a50c7391664,ca,34,51141,green,black,kia motors finance,8175,9800
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1dh680502,ca,34,50160,blue,gray,avis rac/san leandro,11500,11900
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap5bn515946,ca,34,49945,white,gray,nissan motor acceptance corporation,10600,11800
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c5xba802007,ca,34,49485,white,gray,financial services remarketing (lease),17450,18500
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja4cr334676,ca,34,45384,silver,black,wheels exchange llc,11700,12100
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9cr296434,ca,34,43287,silver,black,exeter finance corp,11450,12000
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f36ca106636,ca,34,43155,blue,gray,ahfc/honda lease trust/hvt  inc.,11550,12500
2011,BMW,3 Series,335is,Convertible,automatic,wbadx1c56be570646,ca,34,41971,white,black,financial services remarketing (lease),29900,29000
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha7cr401258,ca,34,41949,red,black,enterprise veh exchange/rental,10900,10900
2011,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du7b1369590,ca,34,41859,red,beige,toyota financial services,14750,15500
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6e7118217,ca,34,40661,silver,black,avis corporation,13050,13000
2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep3dc223558,ca,34,36975,red,black,avis rac/san leandro,13000,13500
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f59ce324448,ca,34,35782,black,gray,the hertz corporation,11150,12100
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcc594269,ca,34,31616,gray,White,financial services remarketing (lease),29700,28000
2011,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,5tfju4gn4bx001082,ca,34,30622,white,gray,aaero sweet company,22600,23500
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g5xbnm80203,ca,34,29798,black,black,newport coast auto com,20100,20500
2011,BMW,3 Series,328i,Convertible,automatic,wbadw7c51be728154,ca,34,28610,black,black,financial services remarketing (lease),26200,25000
2012,Jaguar,XF,Portfolio,Sedan,automatic,sajwa0hb5cls22759,ca,34,26967,blue,brown,jaguar land rover thousand oaks,33300,32250
2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep8cc191074,ca,34,26958,silver,black,phillips auto brokerage,13850,13500
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c51bf094141,ca,34,26258,white,black,financial services remarketing (lease),20500,20500
2012,Honda,Civic,HF,Sedan,automatic,2hgfb2f6xch319922,ca,34,24651,gray,gray,ahfc/honda lease trust/hvt  inc. eot,11700,13400
2011,BMW,3 Series,335i,Convertible,automatic,wbadx7c59be581546,ca,34,22819,black,black,financial services remarketing (lease),29400,30250
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp0ct020919,ca,34,19395,black,beige,nissan-infiniti lt,11650,11000
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c55ba993843,ca,34,19170,gray,black,financial services remarketing (lease),21700,20300
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,3tmku4hn4dm037625,ca,34,11094,brown,gray,jpmorgan chase bank n.a.,24900,21000
2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek0c6316896,ca,35,80435,silver,black,wheels exchange llc,12500,12400
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn436963,ca,35,68499,white,black,nissan-infiniti lt,10150,10500
2011,Chevrolet,Traverse,LT1,SUV,automatic,1gnkvged8bj135858,ca,35,67807,gray,black,wells fargo dealer services,15550,15600
2010,BMW,3 Series,328i,Sedan,automatic,wbaph5g54anm35174,ca,35,66228,gray,gray,bmw of murrieta,12650,15500
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab3cn322875,ca,35,65600,gray,black,dtg operations inc,7875,8300
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha6cr182177,ca,35,64035,blue,gray,dtg operations inc,9550,8900
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdy30327,ca,35,62345,gray,black,walters auto sales/service inc,26000,24750
2011,Ford,F-150,FX2,SuperCrew,automatic,1ftfw1cf3bke02634,ca,35,62174,silver,black,ford motor credit company llc,19750,20900
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn547233,ca,35,61267,red,black,sama california auto export inc,9925,9800
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5ch495089,ca,35,60874,gray,gray,high bid trading co inc,9875,10000
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be6ca780900,ca,35,60646,gray,black,the hertz corporation,27700,26250
2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb2blr84088,ca,35,59548,white,beige,jpmorgan chase bank n.a.,22500,18000
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha0cr307187,ca,35,58023,silver,gray,ge fleet services for itself/servicer,9875,10500
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7bexca783234,ca,35,57821,gray,gray,mercedes-benz finc wholesale advantage,28100,27750
2012,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj7cm162266,ca,35,55855,gray,black,ford motor credit company llc pd,8275,8200
2011,Kia,Sorento,Base,SUV,automatic,5xykt4a14bg145862,ca,35,54933,green,beige,exeter finance corp,10950,9500
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1bc838460,ca,35,54719,blue,black,nissan-infiniti lt,15350,16000
2011,Nissan,Murano,SV,SUV,automatic,jn8az1mu7bw050850,ca,35,53770,gray,black,daimler daiichi corp,14500,15400
2012,Kia,Soul,Base,Wagon,automatic,kndjt2a57c7432856,ca,35,51215,silver,black,kia motors finance,8150,9300
2012,Toyota,Avalon,Base,Sedan,automatic,4t1bk3db3cu449763,ca,35,48994,black,black,rd cars,17000,17000
2012,Jaguar,XF,Portfolio,Sedan,automatic,sajwa0hb3cls59258,ca,35,48806,black,black,walters auto sales/service inc,29000,28500
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du0d5560845,ca,35,45805,silver,gray,avis rac/san leandro,14550,16200
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dc261914,ca,35,45568,black,black,merchants leasing,12550,12000
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0eg0ckb55384,ca,35,45035,gray,beige,ford motor credit company llc pd,15450,14100
2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd1cu152484,ca,35,44190,red,beige,hyundai motor finance,15850,15000
2011,Honda,Accord,EX,Coupe,manual,1hgcs1a74ba009341,ca,35,44102,black,black,santander consumer,12550,11000
2012,Mercedes-Benz,E-Class,E350,Convertible,automatic,wddkk5kf8cf165819,ca,35,43642,white,black,the hertz corporation,30000,27900
2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep2dc219971,ca,35,42938,gray,black,avis rac/san leandro,12400,13300
2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb5blr85915,ca,35,42910,silver,black,jpmorgan chase bank n.a.,24000,25500
2012,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae4cu132368,ca,35,42403,gray,gray,hyundai motor finance,8025,8000
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxdh744455,ca,35,41888,gray,gray,avis corporation,11800,11900
2010,Nissan,Murano,SL,SUV,automatic,jn8az1mu5aw016565,ca,35,40051,burgundy,black,toyota scion of downtown la,16550,12500
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn565692,ca,35,39109,gray,black,metro nissan of montclair,12100,10400
2011,Jaguar,XF,Base,Sedan,automatic,sajwa0fb8bls14012,ca,35,38814,black,black,jpmorgan chase bank n.a.,24300,26000
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn511313,ca,35,38688,red,black,avis corporation,12850,13500
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7cn259165,ca,35,38669,black,black,dtg operations inc,8975,9400
2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e13bf325251,ca,35,38609,blue,gray,fiserv/usb dealer services northstar exchange,9625,9500
2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep6dc191432,ca,35,38530,white,black,avis corporation,13200,13600
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5dh363852,ca,35,38388,gray,gray,enterprise vehicle exchange/orange,11350,11700
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh335103,ca,35,37759,beige,beige,avis corporation,11400,11800
